time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-10-29T21:01:50.810Z,13.7906,120.7828,137.42,4.3,mb,,128,0.343,0.87,us,us2000bjw8,2018-01-24T01:24:58.040Z,"10km SE of Hukay, Philippines",earthquake,14.1,5.6,0.072,54,reviewed,us,us
2017-10-23T15:28:46.020Z,13.5971,121.1789,105.37,4.5,mb,,156,0.554,1.08,us,us1000avxb,2018-01-17T21:50:31.040Z,"5km S of Banalo, Philippines",earthquake,12.2,3.8,0.097,31,reviewed,us,us
2017-10-22T14:21:01.450Z,14.0002,120.7252,209.39,5.4,mww,,21,0.228,0.81,us,us1000avnl,2018-01-17T21:50:29.040Z,"0km NNW of Putol, Philippines",earthquake,6.6,2.7,0.046,45,reviewed,us,us
2017-10-15T10:44:38.940Z,14.3966,119.3281,33.47,4.5,mb,,126,8.539,0.66,us,us1000aup8,2018-01-11T02:22:01.040Z,"96km NW of Cabra, Philippines",earthquake,9.3,6.4,0.157,12,reviewed,us,us
2017-10-04T13:21:04.510Z,13.7282,120.3094,76.55,4.4,mb,,94,0.713,0.78,us,us1000aqmv,2018-01-03T01:54:45.040Z,"6km E of Looc, Philippines",earthquake,9.4,8,0.114,22,reviewed,us,us
2017-09-29T23:18:50.350Z,13.6841,120.6718,113.35,4.6,mb,,89,0.488,0.64,us,us2000ax17,2017-12-22T21:56:29.040Z,"16km SSE of Calatagan, Philippines",earthquake,5,5.5,0.052,110,reviewed,us,us
2017-09-23T13:30:31.980Z,13.6372,120.8302,165.98,5,mb,,65,8.808,0.8,us,us2000atke,2017-12-19T01:54:13.040Z,"5km WSW of Tingloy, Philippines",earthquake,9.8,5.6,0.053,112,reviewed,us,us
2017-09-16T14:52:10.930Z,13.7284,120.9169,145.29,4.2,mb,,175,8.824,0.79,us,us2000ap4b,2017-12-13T02:29:46.040Z,"2km WSW of Talaga, Philippines",earthquake,14.9,4.7,0.128,17,reviewed,us,us
2017-09-08T15:49:50.410Z,13.7011,121.1544,115.66,4.3,mb,,134,9.561,1.4,us,us2000arrz,2017-12-07T20:00:22.040Z,"4km NNE of Talahib Payap, Philippines",earthquake,13.5,12,0.161,11,reviewed,us,us
2017-09-07T06:47:43.910Z,13.7071,120.7839,208.63,4.3,mb,,151,9.646,0.42,us,us2000arq9,2017-12-07T20:00:18.040Z,"10km WNW of Tingloy, Philippines",earthquake,8,9.1,0.096,31,reviewed,us,us
2017-08-25T14:34:00.100Z,13.6885,120.5785,35,4.4,mb,,107,8.702,0.83,us,us2000abpc,2017-11-22T03:43:32.040Z,"16km SSW of Calatagan, Philippines",earthquake,9.8,1.9,0.098,30,reviewed,us,us
2017-08-24T00:06:08.070Z,13.701,120.2572,65.59,4.5,mb,,94,0.771,0.58,us,us2000acuj,2017-11-22T03:43:30.040Z,"2km SSE of Looc, Philippines",earthquake,10.3,8.1,0.096,32,reviewed,us,us
2017-08-15T10:04:34.360Z,13.9421,120.7452,104.85,4.2,mb,,102,8.833,0.51,us,us2000a9fe,2017-11-14T01:42:08.040Z,"1km ENE of Balayan, Philippines",earthquake,13.8,9.3,0.107,24,reviewed,us,us
2017-08-13T13:58:59.020Z,14.72,120.149,51.33,4.7,mb,,103,8.547,0.68,us,us2000a931,2017-11-14T01:42:05.040Z,"11km WNW of Sabang, Philippines",earthquake,12.2,7.8,0.083,44,reviewed,us,us
2017-08-12T18:02:30.620Z,13.8349,120.7,126.78,4.4,mb,,117,0.351,1.07,us,us2000a8tv,2017-10-25T00:38:10.040Z,"1km SSW of Hukay, Philippines",earthquake,4.1,6,0.123,21,reviewed,us,us
